name,image,bkg,rms,psf
XG_20201014_147-154MHz,XG_20201014_147-154MHz_ddmod.fits,XG_20201014_147-154MHz_ddmod_bkg.fits,XG_20201014_147-154MHz_ddmod_rms.fits,XG_20201014_147-154MHz_projpsf_psf.fits
XG_20201014_154-162MHz,XG_20201014_154-162MHz_ddmod.fits,XG_20201014_154-162MHz_ddmod_bkg.fits,XG_20201014_154-162MHz_ddmod_rms.fits,XG_20201014_154-162MHz_projpsf_psf.fits
XG_20201014_162-170MHz,XG_20201014_162-170MHz_ddmod.fits,XG_20201014_162-170MHz_ddmod_bkg.fits,XG_20201014_162-170MHz_ddmod_rms.fits,XG_20201014_162-170MHz_projpsf_psf.fits
XG_20201014_170-177MHz,XG_20201014_170-177MHz_ddmod.fits,XG_20201014_170-177MHz_ddmod_bkg.fits,XG_20201014_170-177MHz_ddmod_rms.fits,XG_20201014_170-177MHz_projpsf_psf.fits
XG_20201014_170-200MHz,XG_20201014_170-200MHz_ddmod.fits,XG_20201014_170-200MHz_ddmod_bkg.fits,XG_20201014_170-200MHz_ddmod_rms.fits,XG_20201014_170-200MHz_projpsf_psf.fits
XG_20201014_177-185MHz,XG_20201014_177-185MHz_ddmod.fits,XG_20201014_177-185MHz_ddmod_bkg.fits,XG_20201014_177-185MHz_ddmod_rms.fits,XG_20201014_177-185MHz_projpsf_psf.fits
XG_20201014_185-193MHz,XG_20201014_185-193MHz_ddmod.fits,XG_20201014_185-193MHz_ddmod_bkg.fits,XG_20201014_185-193MHz_ddmod_rms.fits,XG_20201014_185-193MHz_projpsf_psf.fits
XG_20201014_193-200MHz,XG_20201014_193-200MHz_ddmod.fits,XG_20201014_193-200MHz_ddmod_bkg.fits,XG_20201014_193-200MHz_ddmod_rms.fits,XG_20201014_193-200MHz_projpsf_psf.fits
XG_20201014_200-208MHz,XG_20201014_200-208MHz_ddmod.fits,XG_20201014_200-208MHz_ddmod_bkg.fits,XG_20201014_200-208MHz_ddmod_rms.fits,XG_20201014_200-208MHz_projpsf_psf.fits
XG_20201014_200-231MHz,XG_20201014_200-231MHz_ddmod.fits,XG_20201014_200-231MHz_ddmod_bkg.fits,XG_20201014_200-231MHz_ddmod_rms.fits,XG_20201014_200-231MHz_projpsf_psf.fits
XG_20201014_208-216MHz,XG_20201014_208-216MHz_ddmod.fits,XG_20201014_208-216MHz_ddmod_bkg.fits,XG_20201014_208-216MHz_ddmod_rms.fits,XG_20201014_208-216MHz_projpsf_psf.fits
XG_20201014_223-231MHz,XG_20201014_223-231MHz_ddmod.fits,XG_20201014_223-231MHz_ddmod_bkg.fits,XG_20201014_223-231MHz_ddmod_rms.fits,XG_20201014_223-231MHz_projpsf_psf.fits 
XG_20201014_216-223MHz,XG_20201014_216-223MHz_ddmod.fits,XG_20201014_216-223MHz_ddmod_bkg.fits,XG_20201014_216-223MHz_ddmod_rms.fits,XG_20201014_216-223MHz_projpsf_psf.fits
